temp,feels_like,temp_min,temp_max,pressure,humidity,clouds,wind_speed,wind_deg,weather_now,weather_next_hour
297.52,297.06,297.52,297.52,1015,40,9,4.23,216,Clear,0
294.52,294.57,294.52,294.52,1019,71,0,2.59,333,Clear,0
294.52,294.25,294.52,294.52,998,59,97,2.4,262,Clouds,0
306.52,313.25,306.52,306.52,1012,59,4,4.2,142,Clear,0
291.52,291.16,291.52,291.52,1013,67,100,2.54,265,Clouds,0
295.52,295.2,295.52,295.52,1014,53,80,2.97,21,Clouds,0
291.52,290.82,291.52,291.52,1030,54,39,2.93,186,Clouds,0
292.52,292.18,292.52,292.52,1024,64,33,1.14,155,Clouds,0
304.52,310.81,304.52,304.52,1011,67,3,4.34,139,Clear,0
298.52,299.36,298.52,298.52,1011,86,96,2.65,110,Clouds,0
292.52,291.92,292.52,292.52,1030,54,25,0.71,105,Clouds,0
288.52,288.1,288.52,288.52,998,76,100,0.2,102,Rain,1
298.52,298.42,298.52,298.52,1020,50,15,1.33,354,Clouds,0
287.52,286.81,287.52,287.52,1008,69,96,3.44,10,Clouds,0
288.52,288.12,288.52,288.52,1026,77,10,3.13,43,Clear,0
299.52,299.52,299.52,299.52,1020,42,28,2.18,337,Clouds,0
290.52,290.06,290.52,290.52,1006,67,6,5.31,34,Clear,0
299.52,299.52,299.52,299.52,1006,57,29,5.28,255,Clouds,0
293.52,292.87,293.52,293.52,1028,48,99,3.73,141,Clouds,0
298.52,298.91,298.52,298.52,1000,69,12,5.53,287,Clouds,0
293.52,292.84,293.52,293.52,1012,47,94,5.65,50,Clouds,0
290.52,290.3,290.52,290.52,1017,76,14,4.31,335,Clouds,0
293.52,292.79,293.52,293.52,1023,45,93,5.86,273,Clouds,0
293.52,293.94,293.52,293.52,1007,89,1,5.0,270,Clear,0
298.52,298.57,298.52,298.52,1023,56,3,1.33,223,Clear,0
285.52,284.61,285.52,285.52,1005,69,100,4.96,340,Clouds,0
286.52,286.34,286.52,286.52,1016,93,0,2.59,321,Clear,0
297.52,297.53,297.52,297.52,1007,58,100,0.37,344,Clouds,0
301.52,303.82,301.52,301.52,1008,65,100,3.87,294,Clouds,0
291.52,291.37,291.52,291.52,1026,75,99,2.95,131,Clouds,0
295.52,295.09,295.52,295.52,1013,49,21,3.67,346,Clouds,0
295.52,296.03,295.52,295.52,1012,85,69,1.93,187,Clouds,0
307.52,310.08,307.52,307.52,1010,43,12,4.54,169,Clouds,0
289.52,288.75,289.52,289.52,1014,59,99,1.36,232,Clouds,0
296.52,296.45,296.52,296.52,1028,59,28,2.39,328,Clouds,0
298.52,298.42,298.52,298.52,1006,50,88,2.27,249,Clouds,0
286.52,285.98,286.52,286.52,1026,79,7,2.04,280,Clear,0
292.52,292.0,292.52,292.52,1018,57,4,3.21,175,Clear,0
288.52,287.73,288.52,288.52,1009,62,100,2.78,320,Clouds,0
291.52,291.76,291.52,291.52,1007,90,42,2.59,279,Clouds,0
297.52,297.03,297.52,297.52,1024,39,52,3.41,329,Clouds,0
301.52,301.38,301.52,301.52,1022,43,20,5.61,273,Clouds,0
295.52,295.85,295.52,295.52,1013,78,6,1.62,236,Clear,0
293.52,293.31,293.52,293.52,1025,65,33,3.5,121,Clouds,0
284.52,283.72,284.52,284.52,1031,77,0,2.4,43,Clear,0
290.52,290.35,290.52,290.52,1017,78,3,2.22,62,Clear,0
298.52,298.05,298.52,298.52,1000,36,16,3.39,290,Clouds,0
292.52,291.77,292.52,292.52,1004,48,88,4.02,5,Clouds,0
302.52,306.5,302.52,302.52,1014,69,10,1.82,165,Clear,0
290.52,290.45,290.52,290.52,1011,82,21,1.72,327,Clouds,0
299.52,299.52,299.52,299.52,1026,53,100,1.33,312,Clouds,0
292.52,292.94,292.52,292.52,998,93,32,3.42,262,Clouds,0
291.52,291.68,291.52,291.52,1007,87,67,2.06,349,Clouds,0
290.52,289.93,290.52,290.52,1007,62,79,3.16,29,Clouds,0
295.52,295.64,295.52,295.52,997,70,100,4.14,267,Clouds,0
287.52,287.55,287.52,287.52,991,97,100,3.29,348,Clouds,0
297.52,296.93,297.52,297.52,1030,35,43,2.21,119,Clouds,0
289.52,288.57,289.52,289.52,1030,52,5,2.57,140,Clear,0
299.52,299.52,299.52,299.52,1028,37,87,4.06,140,Clouds,0
291.52,291.71,291.52,291.52,999,88,100,1.5,178,Clouds,0
293.52,293.96,293.52,293.52,1004,90,100,4.31,245,Clouds,0
287.52,287.15,287.52,287.52,1030,82,4,1.81,94,Clear,0
301.52,305.02,301.52,301.52,1011,73,2,3.75,126,Clear,0
290.52,290.53,290.52,290.52,1025,85,50,1.67,116,Clouds,0
296.52,296.24,296.52,296.52,1026,51,25,4.61,20,Clouds,0
289.52,289.43,289.52,289.52,1012,85,1,3.39,296,Clear,0
296.52,296.24,296.52,296.52,1003,51,43,4.81,285,Clouds,0
284.52,283.46,284.52,284.52,1031,67,58,1.4,115,Clouds,0
297.52,297.27,297.52,297.52,1018,48,42,3.47,70,Clouds,0
285.52,284.93,285.52,285.52,1019,81,0,1.38,23,Clear,0
288.52,288.62,288.52,288.52,1011,96,2,2.12,302,Clear,0
290.52,290.43,290.52,290.52,998,81,37,2.27,219,Clouds,0
294.52,294.33,294.52,294.52,1026,62,45,1.9,48,Clouds,0
286.52,286.16,286.52,286.52,1004,86,99,5.73,294,Clouds,0
306.52,309.04,306.52,306.52,1014,46,9,4.57,168,Clear,0
289.52,289.3,289.52,289.52,1011,80,89,5.32,3,Clouds,0
291.52,291.66,291.52,291.52,1006,86,100,1.37,319,Clouds,0
296.52,296.51,296.52,296.52,1008,61,67,2.38,3,Clouds,0
286.52,285.4,286.52,286.52,1028,57,93,2.48,233,Clouds,0
299.52,299.52,299.52,299.52,1021,41,3,6.76,356,Clear,0
295.52,294.7,295.52,295.52,1015,34,1,4.7,21,Clear,0
296.52,296.11,296.52,296.52,1014,46,0,2.54,20,Clear,0
296.52,296.9,296.52,296.52,1004,76,100,1.98,24,Clouds,0
303.52,303.15,303.52,303.52,1017,39,0,4.33,6,Clear,0
286.52,285.74,286.52,286.52,1029,70,59,2.23,303,Clouds,0
295.52,294.91,295.52,295.52,1016,42,3,4.04,2,Clear,0
292.52,291.77,292.52,292.52,1032,48,16,4.33,143,Clouds,0
293.52,293.28,293.52,293.52,1018,64,18,0.57,245,Clouds,0
302.52,302.34,302.52,302.52,1012,42,56,4.78,357,Clouds,0
287.52,287.05,287.52,287.52,1008,78,100,2.26,278,Clouds,0
290.52,290.35,290.52,290.52,1024,78,7,2.28,214,Clear,0
296.52,296.43,296.52,296.52,1013,58,94,3.03,344,Rain,0
294.52,293.86,294.52,294.52,1004,44,50,4.35,331,Clouds,0
290.52,290.45,290.52,290.52,1025,82,22,1.43,15,Clouds,0
294.52,294.7,294.52,294.52,1008,76,72,1.59,313,Clouds,0
293.52,293.36,293.52,293.52,1009,67,35,1.28,306,Clouds,0
283.52,282.1,283.52,283.52,1031,57,5,0.9,154,Clear,0
279.87,276.86,279.87,279.87,1005,80,99,4.51,310,Clouds,0
290.52,290.71,290.52,290.52,1008,92,0,2.45,288,Clear,0
300.52,300.35,300.52,300.52,1023,41,84,3.64,153,Clouds,0
287.52,287.47,287.52,287.52,997,94,77,2.38,243,Clouds,0
295.52,294.88,295.52,295.52,1029,41,5,2.65,33,Clear,0
294.52,294.28,294.52,294.52,1018,60,65,1.87,76,Clouds,0
300.52,301.71,300.52,300.52,1022,60,59,3.37,269,Clouds,0
294.52,293.76,294.52,294.52,1032,40,18,4.48,147,Clouds,0
286.52,286.42,286.52,286.52,1005,96,100,4.32,314,Clouds,0
292.52,292.5,292.52,292.52,998,76,41,0.81,264,Clouds,0
291.52,291.66,291.52,291.52,1014,86,81,1.35,347,Clouds,0
291.52,290.93,291.52,291.52,1028,58,0,2.96,89,Clear,0
290.52,290.09,290.52,290.52,1006,68,100,1.25,255,Clouds,0
